trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
trp_A3333_705_OP40FPV_36000,10:00:00,10:00:02,1321,1,GALLARTA,0,0,1,1,0,0
trp_A3333_705_OP40FPV_36000,10:01:37,10:01:39,332,2,GALLARTA,0,0,1,1,267,0
trp_A3333_705_OP40FPV_36000,10:04:16,10:04:18,333,3,GALLARTA,0,0,1,1,705,0
trp_A3333_705_OP40FPV_36000,10:07:09,10:07:11,334,4,GALLARTA,0,0,1,1,1185,0
trp_A3333_705_OP40FPV_36000,10:08:34,10:08:36,449,5,GALLARTA,0,0,1,1,1417,0
trp_A3333_705_OP40FPV_36000,10:10:10,10:10:12,450,6,GALLARTA,0,0,1,1,1683,0
trp_A3333_705_OP40FPV_36000,10:22:46,10:22:48,1134,7,GALLARTA,0,0,1,1,3768,0
trp_A3333_705_OP40FPV_36000,10:25:58,10:26:00,1135,8,GALLARTA,0,0,1,1,4298,0
trp_A3333_705_OP40FPV_36000,10:28:56,10:28:58,1136,9,GALLARTA,0,0,1,1,4791,0
trp_A3333_705_OP40FPV_36000,10:32:06,10:32:08,1137,10,GALLARTA,0,0,1,1,5314,0
trp_A3333_705_OP40FPV_36000,10:39:29,10:39:31,1138,11,GALLARTA,0,0,1,1,6537,0
trp_A3333_705_OP40FPV_36000,10:42:54,10:42:56,1139,12,GALLARTA,0,0,1,1,7102,0
trp_A3333_705_OP40FPV_36000,10:45:32,10:45:34,1221,13,GALLARTA,0,0,1,1,7537,0
trp_A3333_705_OP40FPV_36000,10:49:00,10:49:02,1222,14,GALLARTA,0,0,1,1,8111,0
trp_A3333_705_OP40FPV_36000,10:51:42,10:51:44,1223,15,GALLARTA,0,0,1,1,8559,0
trp_A3333_705_OP40FPV_36000,10:52:36,10:52:38,1224,16,GALLARTA,0,0,1,1,8709,0
trp_A3333_705_OP40FPV_36000,10:57:37,10:57:39,1195,17,GALLARTA,0,0,1,1,9539,0
trp_A3333_705_OP40FPV_36000,11:00:00,11:00:02,1190,18,GALLARTA,0,0,1,1,9933,0
trp_A3333_705_OP40FPV_39600,11:00:00,11:00:02,1321,1,GALLARTA,0,0,1,1,0,0
trp_A3333_705_OP40FPV_39600,11:01:37,11:01:39,332,2,GALLARTA,0,0,1,1,267,0
trp_A3333_705_OP40FPV_39600,11:04:16,11:04:18,333,3,GALLARTA,0,0,1,1,705,0
trp_A3333_705_OP40FPV_39600,11:07:09,11:07:11,334,4,GALLARTA,0,0,1,1,1185,0
trp_A3333_705_OP40FPV_39600,11:08:34,11:08:36,449,5,GALLARTA,0,0,1,1,1417,0
trp_A3333_705_OP40FPV_39600,11:10:10,11:10:12,450,6,GALLARTA,0,0,1,1,1683,0
trp_A3333_705_OP40FPV_39600,11:22:46,11:22:48,1134,7,GALLARTA,0,0,1,1,3768,0
trp_A3333_705_OP40FPV_39600,11:25:58,11:26:00,1135,8,GALLARTA,0,0,1,1,4298,0
trp_A3333_705_OP40FPV_39600,11:28:56,11:28:58,1136,9,GALLARTA,0,0,1,1,4791,0
trp_A3333_705_OP40FPV_39600,11:32:06,11:32:08,1137,10,GALLARTA,0,0,1,1,5314,0
trp_A3333_705_OP40FPV_39600,11:39:29,11:39:31,1138,11,GALLARTA,0,0,1,1,6537,0
trp_A3333_705_OP40FPV_39600,11:42:54,11:42:56,1139,12,GALLARTA,0,0,1,1,7102,0
trp_A3333_705_OP40FPV_39600,11:45:32,11:45:34,1221,13,GALLARTA,0,0,1,1,7537,0
trp_A3333_705_OP40FPV_39600,11:49:00,11:49:02,1222,14,GALLARTA,0,0,1,1,8111,0
trp_A3333_705_OP40FPV_39600,11:51:42,11:51:44,1223,15,GALLARTA,0,0,1,1,8559,0
trp_A3333_705_OP40FPV_39600,11:52:36,11:52:38,1224,16,GALLARTA,0,0,1,1,8709,0
trp_A3333_705_OP40FPV_39600,11:57:37,11:57:39,1195,17,GALLARTA,0,0,1,1,9539,0
trp_A3333_705_OP40FPV_39600,12:00:00,12:00:02,1190,18,GALLARTA,0,0,1,1,9933,0
trp_A3333_705_OP40FPV_43200,12:00:00,12:00:02,1321,1,GALLARTA,0,0,1,1,0,0
trp_A3333_705_OP40FPV_43200,12:01:37,12:01:39,332,2,GALLARTA,0,0,1,1,267,0
trp_A3333_705_OP40FPV_43200,12:04:16,12:04:18,333,3,GALLARTA,0,0,1,1,705,0
trp_A3333_705_OP40FPV_43200,12:07:09,12:07:11,334,4,GALLARTA,0,0,1,1,1185,0
trp_A3333_705_OP40FPV_43200,12:08:34,12:08:36,449,5,GALLARTA,0,0,1,1,1417,0
trp_A3333_705_OP40FPV_43200,12:10:10,12:10:12,450,6,GALLARTA,0,0,1,1,1683,0
trp_A3333_705_OP40FPV_43200,12:22:46,12:22:48,1134,7,GALLARTA,0,0,1,1,3768,0
trp_A3333_705_OP40FPV_43200,12:25:58,12:26:00,1135,8,GALLARTA,0,0,1,1,4298,0
trp_A3333_705_OP40FPV_43200,12:28:56,12:28:58,1136,9,GALLARTA,0,0,1,1,4791,0
trp_A3333_705_OP40FPV_43200,12:32:06,12:32:08,1137,10,GALLARTA,0,0,1,1,5314,0
trp_A3333_705_OP40FPV_43200,12:39:29,12:39:31,1138,11,GALLARTA,0,0,1,1,6537,0
trp_A3333_705_OP40FPV_43200,12:42:54,12:42:56,1139,12,GALLARTA,0,0,1,1,7102,0
trp_A3333_705_OP40FPV_43200,12:45:32,12:45:34,1221,13,GALLARTA,0,0,1,1,7537,0
trp_A3333_705_OP40FPV_43200,12:49:00,12:49:02,1222,14,GALLARTA,0,0,1,1,8111,0
trp_A3333_705_OP40FPV_43200,12:51:42,12:51:44,1223,15,GALLARTA,0,0,1,1,8559,0
trp_A3333_705_OP40FPV_43200,12:52:36,12:52:38,1224,16,GALLARTA,0,0,1,1,8709,0
trp_A3333_705_OP40FPV_43200,12:57:37,12:57:39,1195,17,GALLARTA,0,0,1,1,9539,0
trp_A3333_705_OP40FPV_43200,13:00:00,13:00:02,1190,18,GALLARTA,0,0,1,1,9933,0
trp_A3333_705_OP40FPV_46800,13:00:00,13:00:02,1321,1,GALLARTA,0,0,1,1,0,0
trp_A3333_705_OP40FPV_46800,13:01:37,13:01:39,332,2,GALLARTA,0,0,1,1,267,0
